epoch,train_loss,grad_norm,val_accuracy
0,1.7679683477401733,202459.87022735705,0.4209
1,1.5630517087936402,1511354.643038619,0.4462
2,1.49450697555542,4183685.7485715356,0.4659
3,1.4531057424545288,8354122.2654017955,0.4722
4,1.42285235080719,13787126.840271045,0.4782
5,1.399922124862671,20562797.45722088,0.4911
6,1.381077193069458,28835821.715034273,0.4945
7,1.3645945676803588,38442470.021975376,0.5005
8,1.3500000078201293,49461239.13372429,0.5029
9,1.3379330108642578,61988681.635821804,0.5094
