epoch,train_loss,grad_norm,val_accuracy
0,1.7888417053222656,146945.52940908016,0.4285
1,1.4907779376983643,1101318.3460250997,0.4745
2,1.3836028059005738,2794146.044988707,0.5027
3,1.3184460141181946,5175213.180348947,0.5225
4,1.272337795162201,8196832.100701884,0.5414
5,1.2374591312408447,11960119.977537742,0.5499
6,1.204636741065979,16454640.538892277,0.5559
7,1.1767849704742432,21701795.020874154,0.5641
8,1.152244183063507,27619731.78175031,0.5683
9,1.1293790080070496,34402725.91961135,0.5793
