epoch,train_loss,grad_norm,val_accuracy
0,2.161002494430542,83314.20302216864,0.27
1,2.011409327507019,890238.1229981363,0.3024
2,1.9426124320983886,2823282.398461471,0.3172
3,1.901767984008789,5729611.767813263,0.3268
4,1.8741712020874024,9575825.336877408,0.3347
5,1.8533564357757568,14310311.40959914,0.3403
6,1.8366188060760498,19981993.21117874,0.3464
7,1.8224628902435303,26622898.938781172,0.3516
8,1.8101511072158813,34065093.33906524,0.3555
9,1.7991061304092408,42748842.11621847,0.36
