epoch,train_loss,grad_norm,val_accuracy
0,1.5385380750656128,149490.24597289326,0.5124
1,1.308084518432617,879637.4726065872,0.5261
2,1.2277188477516174,2233665.2031030757,0.5622
3,1.1798091243743896,4250064.423378035,0.5387
4,1.1582352721214295,7037714.569337811,0.5757
5,1.133681506729126,10534498.634026738,0.57
6,1.124761161327362,14707685.922650848,0.5864
7,1.1056325036048888,19608145.292854633,0.5785
8,1.0807392905235291,25289581.985735018,0.5876
9,1.078413688659668,31779892.924665943,0.5864
