epoch,train_loss,grad_norm,val_accuracy
0,2.29751915512085,3436.8296965540603,0.1209
1,2.2733898288726806,39522.861751317,0.212
2,2.1989721771240234,257383.80192233357,0.2498
3,2.080159191131592,930718.4152309725,0.2757
4,1.9806678529739379,1998210.7682364262,0.3104
5,1.8998668720245362,3497008.4913529106,0.3367
6,1.8353176490783691,5460692.469188742,0.3623
7,1.78290334815979,7911412.251116007,0.3758
8,1.7404657562255859,10868353.903682843,0.3915
9,1.702435906982422,14195703.663825791,0.4021
