epoch,train_loss,grad_norm,val_accuracy
0,2.3024314903259278,4941.246194754364,0.1335
1,2.300464089202881,34778.52493761957,0.1502
2,2.298558949661255,93792.52068277175,0.1562
3,2.2966395008087157,184107.68890150453,0.1649
4,2.294643438720703,309921.55679255084,0.1689
5,2.292508553314209,476542.13125637884,0.1713
6,2.2901700328826906,687073.936162925,0.1731
7,2.2875715564727783,953842.8142052183,0.1765
8,2.284632402038574,1290796.75845269,0.1789
9,2.2812617630004883,1708289.5302390484,0.1825
