epoch,train_loss,grad_norm,val_accuracy
0,2.293039402325948,38142.99290295411,0.1235
1,2.276042775472005,288143.83230257855,0.16933333333333334
2,2.2563898798624673,909871.9877097097,0.256
3,2.22953072420756,2180324.3026164845,0.3405
4,2.189663860321045,4666285.004603405,0.44
5,2.127424954732259,9552382.96740523,0.48933333333333334
6,2.0285841391881307,19202621.610567473,0.5153333333333333
7,1.8781413210233053,37752715.387376264,0.5534166666666667
8,1.6772354545593262,70574233.46850139,0.6004166666666667
9,1.4591473989486694,120514632.8391486,0.6529166666666667
